bug,loc,name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc
0,138,ArcPlatform,1,pl.arcilook.view.validator.CompanyValidator,5,1,0,11,27,6,0,11,5,0.75,1.0,2,0.0,0.333333333,0,0,26.2,11,2.8
0,242,ArcPlatform,1,pl.arcilook.utils.DictionaryLoader,19,1,0,12,23,137,8,4,18,0.946296296,1.0,2,0.0,0.37037037,0,0,10.15789474,1,0.8947
0,1,ArcPlatform,1,pl.arcilook.dao.interfaces.DictionaryDefinitionDao,1,1,0,4,1,0,1,3,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0
0,239,ArcPlatform,1,pl.arcilook.utils.TaskTreeWrapper,18,1,0,9,38,103,6,3,15,0.811764706,1.0,2,0.0,0.242647059,0,0,12.0,6,1.3333
0,9,ArcPlatform,1,pl.arcilook.service.FileStructureService,9,1,0,7,9,36,4,3,9,2.0,0.0,0,0.0,0.28571428600000004,0,0,0.0,1,1.0
0,103,ArcPlatform,1,pl.arcilook.dao.impl.TaskDaoImpl,6,4,0,11,26,15,0,11,4,2.0,0.0,0,0.918032787,0.5,0,0,16.16666667,6,1.6667
0,33,ArcPlatform,1,pl.arcilook.bindEditor.DictionaryEditor,3,2,0,5,11,3,4,1,3,2.0,0.0,0,0.882352941,0.5555555560000001,1,1,10.0,1,0.6667
0,68,ArcPlatform,1,pl.arcilook.mail.impl.ActivationMailGeneratorImpl,4,2,0,4,14,4,0,4,4,0.666666667,1.0,0,0.8125,0.4375,1,1,15.75,4,1.5
0,318,ArcPlatform,1,pl.arcilook.domain.specialist.Specialist,55,1,0,74,63,1417,71,3,55,0.98005698,1.0,5,0.0,0.113286713,1,1,4.309090909,6,1.0909
0,439,ArcPlatform,1,pl.arcilook.controller.InformationController,23,1,0,23,66,159,0,23,21,0.915584416,1.0,6,0.0,0.16558441599999998,0,0,17.47826087,5,1.2609
0,28,ArcPlatform,1,pl.arcilook.dao.AbstractDao,28,1,0,27,28,378,24,3,28,2.0,0.0,0,0.0,0.228571429,0,0,0.0,1,1.0
0,49,ArcPlatform,1,pl.arcilook.mail.impl.PasswordRecoverMailGeneratorImpl,4,2,0,1,10,4,0,1,4,0.666666667,1.0,0,0.8125,0.4375,1,1,11.0,3,1.25
0,236,ArcPlatform,1,pl.arcilook.servlet.ImageViewer,5,3,0,1,41,2,0,1,2,0.833333333,1.0,0,0.8888888890000001,0.35,1,2,45.6,2,0.8
0,12,ArcPlatform,1,pl.arcilook.service.InquiryService,12,1,0,6,12,66,3,3,12,2.0,0.0,0,0.0,0.333333333,0,0,0.0,1,1.0
0,122,ArcPlatform,1,pl.arcilook.domain.company.Company,16,1,0,18,23,98,15,3,16,0.923809524,1.0,3,0.0,0.1796875,1,1,6.1875,6,1.3125
0,11,ArcPlatform,1,pl.arcilook.view.validator.InquiryValidator,3,1,0,2,5,3,0,2,3,2.0,0.0,0,0.0,0.5,0,0,2.666666667,1,0.6667
0,20,ArcPlatform,1,pl.arcilook.view.tags.utils.TagMaker,2,1,0,1,6,1,1,0,2,2.0,0.0,0,0.0,0.5,0,0,9.0,1,0.5
0,2,ArcPlatform,1,pl.arcilook.dao.interfaces.DictionaryValueDao,2,1,0,5,2,1,3,2,2,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0
0,73,ArcPlatform,1,pl.arcilook.mail.impl.SpecialistNotifyMailGeneratorImpl,4,2,0,4,14,4,1,4,4,0.666666667,1.0,0,0.8125,0.4375,1,1,17.0,4,1.5
0,153,ArcPlatform,1,pl.arcilook.domain.integration.Package,21,1,0,4,25,182,4,0,21,0.95,1.0,0,0.0,0.210884354,1,1,5.80952381,7,1.2857
0,0,ArcPlatform,1,pl.arcilook.dao.interfaces.AddressDao,0,1,0,3,0,0,2,1,0,2.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
2,901,ArcPlatform,1,pl.arcilook.service.ProjectServiceImpl,25,1,0,13,74,0,0,13,23,0.444444444,1.0,2,0.0,0.204545455,0,0,34.92,1,0.92
2,224,ArcPlatform,1,pl.arcilook.controller.specialist.SpecialistOpinionController,13,1,0,19,56,54,0,19,11,0.898148148,1.0,4,0.0,0.173076923,0,0,15.53846154,4,1.1538
0,161,ArcPlatform,1,pl.arcilook.search.dto.SearchSpecialistDto,14,2,0,4,21,55,2,2,14,0.846153846,0.0,0,0.409090909,0.476190476,2,2,10.07142857,13,1.7857
0,4,ArcPlatform,1,pl.arcilook.service.FileService,4,1,0,5,4,6,4,1,4,2.0,0.0,0,0.0,0.45,0,0,0.0,1,1.0
0,7,ArcPlatform,1,pl.arcilook.domain.communication.CoSketch,1,1,0,1,2,0,0,1,1,2.0,1.0,1,0.0,1.0,0,0,3.0,0,0.0
0,14,ArcPlatform,1,pl.arcilook.view.validator.OpinionValidator,3,1,0,3,5,3,0,3,3,2.0,0.0,0,0.0,0.5,0,0,3.666666667,1,0.6667
0,4,ArcPlatform,1,pl.arcilook.dao.impl.TaskCommentDaoImpl,1,4,0,2,2,0,0,2,1,2.0,0.0,0,1.0,1.0,0,0,3.0,0,0.0
0,6,ArcPlatform,1,pl.arcilook.controller.settings.ProjectControllerSettings,6,1,0,2,6,15,2,0,6,2.0,0.0,0,0.0,0.916666667,0,0,0.0,1,1.0
0,73,ArcPlatform,1,pl.arcilook.dao.impl.DictionaryValueDaoImpl,3,4,0,11,21,3,0,11,3,2.0,0.0,0,0.965517241,0.833333333,0,0,23.33333333,3,1.3333
0,13,ArcPlatform,1,pl.arcilook.dao.interfaces.SpecialistCompanyDao,13,1,0,8,13,78,2,6,13,2.0,0.0,0,0.0,0.326923077,0,0,0.0,1,1.0
0,124,ArcPlatform,1,pl.arcilook.domain.general.Translation,12,1,0,3,22,30,1,3,12,0.696969697,1.0,1,0.0,0.27777777800000003,1,1,9.083333332999999,7,1.4167
0,34,ArcPlatform,1,pl.arcilook.dao.impl.DictionaryDefinitionDaoImpl,2,4,0,5,10,1,0,5,2,2.0,0.0,0,0.98245614,0.75,0,0,16.0,1,0.5
0,11,ArcPlatform,1,pl.arcilook.bindEditor.FileNameEditor,2,2,0,2,5,1,1,1,2,2.0,0.0,0,0.9375,0.75,1,1,4.5,1,0.5
0,3,ArcPlatform,1,pl.arcilook.utils.linkGenerator.LinkGenerator,3,1,0,6,3,3,6,0,3,2.0,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0
0,118,ArcPlatform,1,pl.arcilook.utils.BeanPropertyUtils,5,1,0,6,24,8,2,4,4,0.875,0.5,0,0.0,0.4166666670000001,0,0,21.8,2,1.0
0,3,ArcPlatform,1,pl.arcilook.dao.interfaces.CompanyDao,3,1,0,7,3,3,4,3,3,2.0,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0
0,21,ArcPlatform,1,pl.arcilook.bindEditor.FileExistEditor,2,2,0,3,6,1,2,1,2,2.0,0.0,0,0.9375,0.75,1,1,9.5,3,1.5
0,61,ArcPlatform,1,pl.arcilook.helper.ApplicationHelper,7,1,0,3,11,17,0,3,6,0.666666667,1.0,0,0.0,0.541666667,0,0,7.428571429,1,0.7143
0,2,ArcPlatform,1,pl.arcilook.dao.interfaces.InquiryDao,2,1,0,3,2,1,2,1,2,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0
2,10,ArcPlatform,1,pl.arcilook.dao.interfaces.ProjectDao,10,1,0,6,10,45,2,4,10,2.0,0.0,0,0.0,0.4,0,0,0.0,1,1.0
1,111,ArcPlatform,1,pl.arcilook.domain.contact.ContactBook,8,1,0,16,21,14,13,3,8,0.80952381,1.0,0,0.0,0.34375,1,1,12.5,7,1.875
0,57,ArcPlatform,1,pl.arcilook.controller.settings.AdministrationControllerSettingsImpl,7,1,0,1,11,15,0,1,6,0.833333333,1.0,0,0.0,0.428571429,0,0,6.714285714,3,1.1429
0,487,ArcPlatform,1,pl.arcilook.service.SpecialistServiceImpl,28,1,0,25,92,238,0,25,27,0.920987654,0.933333333,7,0.0,0.140740741,0,0,15.85714286,5,1.25
0,172,ArcPlatform,1,pl.arcilook.domain.project.inquiry.Inquiry,26,1,0,8,33,285,5,3,26,0.956666667,1.0,4,0.0,0.132867133,1,1,5.153846154,6,1.1923
0,653,ArcPlatform,1,pl.arcilook.controller.specialist.SpecialistAccountController,25,1,0,26,99,222,0,26,22,0.936111111,1.0,6,0.0,0.12745098,0,0,24.52,7,1.88
0,643,ArcPlatform,1,pl.arcilook.domain.communication.JabberAccount,18,1,0,22,92,0,8,14,17,0.909502262,1.0,0,0.0,0.303921569,0,0,34.0,9,3.9444
0,129,ArcPlatform,1,pl.arcilook.view.validator.InformationValidator,3,1,0,6,22,3,1,5,3,2.0,0.0,0,0.0,0.5,0,0,42.0,17,6.0
0,362,ArcPlatform,1,pl.arcilook.service.ContactBookServiceImpl,9,1,0,8,33,0,0,8,8,0.5,1.0,3,0.0,0.375,0,0,38.77777778,1,0.7778
0,71,ArcPlatform,1,pl.arcilook.domain.specialist.Opinion,8,1,0,5,15,6,4,1,8,0.80952381,1.0,1,0.0,0.34375,1,1,7.5,6,1.5
0,206,ArcPlatform,1,pl.arcilook.domain.task.Task,31,1,0,11,35,427,9,2,31,0.977777778,0.833333333,4,0.0,0.148387097,1,1,5.064516128999999,7,1.1935
0,96,ArcPlatform,1,pl.arcilook.view.tags.list.table.Row,7,1,0,2,20,0,1,1,7,0.611111111,1.0,0,0.0,0.392857143,0,0,12.28571429,3,1.1429
1,14,ArcPlatform,1,pl.arcilook.view.validator.TaskValidator,3,1,0,3,5,3,0,3,3,2.0,0.0,0,0.0,0.5,0,0,3.666666667,1,0.6667
0,35,ArcPlatform,1,pl.arcilook.dao.impl.RoleDaoImpl,2,4,0,5,10,1,0,5,2,2.0,0.0,0,0.98245614,0.75,0,0,16.5,1,0.5
0,10,ArcPlatform,1,pl.arcilook.service.PackageServiceImpl,2,1,0,2,3,1,0,2,2,1.0,1.0,1,0.0,0.75,0,0,3.5,1,0.5
1,7,ArcPlatform,1,pl.arcilook.dao.interfaces.FileStructureDao,7,1,0,4,7,21,2,2,7,2.0,0.0,0,0.0,0.35714285700000004,0,0,0.0,1,1.0
0,4,ArcPlatform,1,pl.arcilook.controller.settings.TaskControllerSettings,4,1,0,2,4,6,2,0,4,2.0,0.0,0,0.0,0.875,0,0,0.0,1,1.0
1,746,ArcPlatform,1,pl.arcilook.controller.FileManagerController,22,1,0,16,114,165,0,16,11,0.898809524,1.0,3,0.0,0.13968254,0,0,32.54545455,5,1.1818
0,113,ArcPlatform,1,pl.arcilook.search.dto.ProjectSearchWrapper,21,1,0,3,24,184,3,0,21,0.95,1.0,0,0.0,0.35714285700000004,0,0,3.904761905,1,0.9524
0,3,ArcPlatform,1,pl.arcilook.service.RoleService,3,1,0,4,3,3,3,1,3,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0
0,565,ArcPlatform,1,pl.arcilook.dao.impl.SpecialistCompanyDaoImpl,16,4,0,21,56,78,0,21,14,2.0,0.0,0,0.7887323940000001,0.3125,0,0,34.3125,5,2.125
0,669,ArcPlatform,1,pl.arcilook.service.SpecialistCompanyServiceImpl,26,1,0,11,65,0,0,11,24,0.56,1.0,2,0.0,0.302222222,0,0,24.61538462,1,0.9231
0,29,ArcPlatform,1,pl.arcilook.service.OpinionServiceImpl,5,1,0,5,10,4,0,5,4,0.75,1.0,1,0.0,0.4375,0,0,4.4,1,0.6
0,31,ArcPlatform,1,pl.arcilook.dao.impl.OpinionDaoImpl,2,4,0,12,14,1,0,12,2,2.0,0.0,0,0.98245614,0.75,0,0,14.5,1,0.5
0,121,ArcPlatform,1,pl.arcilook.service.ReferenceServiceImpl,10,1,0,7,28,13,0,7,9,0.7777777779999999,1.0,2,0.0,0.317460317,0,0,10.6,1,0.8
0,5,ArcPlatform,1,pl.arcilook.service.ImageService,5,1,0,3,5,10,3,0,5,2.0,0.0,0,0.0,0.533333333,0,0,0.0,1,1.0
0,0,ArcPlatform,1,pl.arcilook.service.PackageService,0,1,0,1,0,0,1,0,0,2.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
0,126,ArcPlatform,1,pl.arcilook.domain.project.inquiry.InquiryAnswer,16,1,0,5,24,86,3,2,16,0.914285714,1.0,2,0.0,0.1796875,1,1,6.4375,6,1.3125
0,79,ArcPlatform,1,pl.arcilook.view.validator.UploadValidator,5,1,0,7,16,6,4,3,5,0.75,1.0,0,0.0,0.333333333,0,0,14.4,7,2.0
0,6,ArcPlatform,1,pl.arcilook.service.CompanyService,6,1,0,8,6,15,3,5,6,2.0,0.0,0,0.0,0.452380952,0,0,0.0,1,1.0
0,74,ArcPlatform,1,pl.arcilook.security.SecurityUtilsBean,4,1,0,11,17,4,2,9,4,0.666666667,1.0,1,0.0,0.5,0,0,17.25,6,2.0
0,74,ArcPlatform,1,pl.arcilook.controller.webElements.CaptchaController,3,1,0,2,19,1,0,2,3,1.0,0.5,0,0.0,0.5,0,0,23.0,1,0.6667
0,114,ArcPlatform,1,pl.arcilook.search.dto.CompanySearchWrapper,23,1,0,5,24,231,5,0,23,0.954545455,1.0,0,0.0,0.295652174,0,0,3.47826087,1,0.9565
0,1,ArcPlatform,1,pl.arcilook.dao.interfaces.LanguageDao,1,1,0,3,1,0,2,1,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0
0,5,ArcPlatform,1,pl.arcilook.exception.InvalidRequestParametersException,1,3,0,0,2,0,0,0,1,2.0,0.0,0,1.0,1.0,0,0,4.0,0,0.0
0,38,ArcPlatform,1,pl.arcilook.session.UserSessionManagement,5,1,0,4,13,0,3,1,5,0.0,1.0,0,0.0,0.533333333,0,0,6.4,1,0.8
0,177,ArcPlatform,1,pl.arcilook.controller.settings.ProjectControllerSettingsImpl,19,1,0,1,23,149,0,1,18,0.944444444,1.0,0,0.0,0.473684211,0,0,7.736842105,3,1.4737
0,82,ArcPlatform,1,pl.arcilook.search.TaskCommentsQueryWrapper,13,1,0,6,14,42,5,1,13,0.833333333,1.0,1,0.0,0.353846154,0,0,4.846153846,1,0.9231
1,679,ArcPlatform,1,pl.arcilook.service.TaskServiceImpl,22,1,0,18,72,47,0,18,16,0.666666667,1.0,3,0.0,0.179487179,0,0,29.63636364,3,1.0909
0,73,ArcPlatform,1,pl.arcilook.service.AddressServiceImpl,5,1,0,5,18,6,0,5,4,0.5,1.0,1,0.0,0.583333333,0,0,13.2,1,0.6
0,4,ArcPlatform,1,pl.arcilook.dao.impl.PackageSpecialistDaoImpl,1,4,0,2,2,0,0,2,1,2.0,0.0,0,1.0,1.0,0,0,3.0,0,0.0
0,93,ArcPlatform,1,pl.arcilook.controller.OtherPagesController,10,1,0,6,18,33,0,6,9,0.904761905,1.0,3,0.0,0.26984127,0,0,7.6,1,0.8
0,87,ArcPlatform,1,pl.arcilook.service.RoleServiceImpl,6,1,0,5,15,9,0,5,5,0.2,1.0,1,0.0,0.5,0,0,13.33333333,4,1.6667
0,186,ArcPlatform,1,pl.arcilook.view.tags.list.table.Column,13,3,0,7,32,40,0,7,11,0.864583333,1.0,1,0.6571428570000001,0.461538462,2,2,12.69230769,4,1.1538
0,4,ArcPlatform,1,pl.arcilook.dao.impl.AddressDaoImpl,1,4,0,2,2,0,0,2,1,2.0,0.0,0,1.0,1.0,0,0,3.0,0,0.0
0,0,ArcPlatform,1,pl.arcilook.dao.interfaces.InquiryAnswerDao,0,1,0,3,0,0,2,1,0,2.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
0,122,ArcPlatform,1,pl.arcilook.domain.general.TranslationPK,8,1,0,3,14,0,1,2,8,0.666666667,1.0,2,0.0,0.40625,1,1,13.875,10,2.125
0,85,ArcPlatform,1,pl.arcilook.view.tags.list.table.Cell,7,1,0,4,12,1,3,1,7,0.444444444,1.0,0,0.0,0.571428571,0,0,10.71428571,4,1.1429
0,0,ArcPlatform,1,pl.arcilook.dao.interfaces.ContactBookDao,0,1,0,3,0,0,2,1,0,2.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
0,51,ArcPlatform,1,pl.arcilook.mail.impl.InquiryMailGeneratorImpl,4,2,0,2,11,4,0,2,4,0.666666667,1.0,0,0.8125,0.4375,1,1,11.5,4,1.5
0,2,ArcPlatform,1,pl.arcilook.controller.settings.AdministrationControllerSettings,2,1,0,2,2,1,2,0,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0
0,164,ArcPlatform,1,pl.arcilook.dao.impl.SpecialistDaoImpl,6,4,0,7,23,13,0,7,6,0.8,1.0,0,0.918032787,0.388888889,1,2,26.16666667,3,1.1667
0,166,ArcPlatform,1,pl.arcilook.domain.others.Information,24,1,0,9,33,238,7,2,24,0.966555184,0.846153846,2,0.0,0.182291667,1,1,5.375,6,1.2083
0,180,ArcPlatform,1,pl.arcilook.service.JabberAccountServiceImpl,11,1,0,6,44,53,0,6,11,0.9,1.0,0,0.0,0.545454545,0,0,15.27272727,6,2.0909
0,4,ArcPlatform,1,pl.arcilook.exception.SendingEmailException,1,3,0,1,2,0,1,0,1,2.0,0.0,0,1.0,1.0,0,0,3.0,0,0.0
0,92,ArcPlatform,1,pl.arcilook.controller.ChatController,7,1,0,7,16,15,0,7,6,0.9,1.0,2,0.0,0.3666666670000001,0,0,11.42857143,2,0.8571
0,103,ArcPlatform,1,pl.arcilook.domain.dictionary.DictionaryDefinition,11,1,0,4,15,37,4,0,11,0.9,1.0,0,0.0,0.290909091,1,1,7.909090909,7,1.5455
0,32,ArcPlatform,1,pl.arcilook.utils.DataGeneratorUtils,2,1,0,1,8,1,1,0,2,2.0,0.0,0,0.0,0.5,0,0,15.0,2,1.0
0,1202,ArcPlatform,1,pl.arcilook.controller.AdministrationController,43,1,0,22,110,563,0,22,40,0.931677019,1.0,9,0.0,0.131578947,0,0,26.41860465,2,1.093
1,56,ArcPlatform,1,pl.arcilook.dao.impl.FolderStructureDaoImpl,4,4,0,8,12,6,0,8,4,2.0,0.0,0,0.949152542,0.875,0,0,13.0,1,0.75
0,20,ArcPlatform,1,pl.arcilook.exception.LogicException,4,3,1,1,8,6,1,0,4,2.0,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0
0,33,ArcPlatform,1,pl.arcilook.bindEditor.SpecialistIDListEditor,3,2,0,2,12,3,1,1,3,2.0,0.0,0,0.882352941,0.5555555560000001,1,1,10.0,1,0.6667
0,131,ArcPlatform,1,pl.arcilook.security.CustomAtuhenticationProcessingFilter,6,4,0,13,30,9,0,13,2,0.8,1.0,1,0.936507937,0.466666667,1,3,20.16666667,1,0.6667
0,174,ArcPlatform,1,pl.arcilook.service.InquiryServiceImpl,18,1,0,11,46,79,0,11,18,0.8470588240000001,1.0,4,0.0,0.194444444,0,0,8.388888889,3,1.1111
1,26,ArcPlatform,1,pl.arcilook.view.validator.ProjectValidator,4,1,0,4,6,6,0,4,4,1.0,1.0,1,0.0,0.4,0,0,5.25,3,1.25
0,26,ArcPlatform,1,pl.arcilook.mail.speedup.MailSpeeder,5,1,0,3,10,8,1,3,3,0.75,1.0,0,0.0,0.5,0,0,4.0,1,0.6
0,562,ArcPlatform,1,pl.arcilook.service.CompanyServiceImpl,20,1,0,19,68,70,0,19,16,0.836842105,1.0,8,0.0,0.148606811,0,0,26.6,1,0.9
0,14,ArcPlatform,1,pl.arcilook.controller.utils.LogoWrapper,3,1,0,4,4,1,3,1,3,0.5,1.0,0,0.0,0.666666667,0,0,3.333333333,1,0.6667
0,2090,ArcPlatform,1,pl.arcilook.controller.CompanyController,41,1,0,36,166,490,0,36,37,0.91547619,1.0,9,0.0,0.126388889,0,0,49.46341463,7,1.7073
0,20,ArcPlatform,1,pl.arcilook.service.SpecialistCompanyService,20,1,0,9,20,190,4,5,20,2.0,0.0,0,0.0,0.407142857,0,0,0.0,1,1.0
0,27,ArcPlatform,1,pl.arcilook.session.SessionManagementListener,3,1,0,4,10,3,0,4,3,2.0,0.0,0,0.0,0.833333333,0,0,8.0,1,0.6667
0,112,ArcPlatform,1,pl.arcilook.domain.general.Address,14,1,0,15,21,63,14,1,14,0.91025641,1.0,1,0.0,0.28571428600000004,1,1,6.571428571,6,1.3571
0,194,ArcPlatform,1,pl.arcilook.view.validator.SpecialistValidator,7,1,0,11,33,9,0,11,7,0.791666667,1.0,2,0.0,0.25,0,0,26.14285714,16,3.0
0,83,ArcPlatform,1,pl.arcilook.domain.gallery.Gallery,7,1,0,1,11,7,1,0,7,0.833333333,1.0,0,0.0,0.35714285700000004,1,1,10.42857143,7,1.8571
2,7,ArcPlatform,1,pl.arcilook.service.FolderStructureService,7,1,0,6,7,21,3,3,7,2.0,0.0,0,0.0,0.464285714,0,0,0.0,1,1.0
1,175,ArcPlatform,1,pl.arcilook.dao.impl.FileStructureDaoImpl,9,4,0,19,36,34,0,19,9,2.0,0.0,0,0.875,0.314814815,0,0,18.44444444,1,0.8889
0,123,ArcPlatform,1,pl.arcilook.domain.integration.PackageSpecialist,15,1,0,2,19,83,0,2,15,0.928571429,1.0,2,0.0,0.20952381,1,1,6.733333332999999,7,1.4
0,3,ArcPlatform,1,pl.arcilook.dao.interfaces.TaskDao,3,1,0,4,3,3,2,2,3,2.0,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0
0,1,ArcPlatform,1,pl.arcilook.service.CoSketchAdministrationService,1,1,0,2,1,0,1,1,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0
0,127,ArcPlatform,1,pl.arcilook.service.ImageServiceImpl,8,1,0,2,26,20,0,2,7,1.0,0.28571428600000004,0,0.0,0.452380952,0,0,14.0,4,1.25
